Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/predict?cb_nonce=125770,1,0,1282.4025000445545,1282.4025000445545,1282.4025000445545,1282.4025000445545,39.0,0.0008323746104118736,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/predict?cb_nonce=126750,1,0,1885.8144000405446,1885.8144000405446,1885.8144000405446,1885.8144000405446,39.0,0.0008323746104118736,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/predict?cb_nonce=127465,1,0,70292.32509993017,70292.32509993017,70292.32509993017,70292.32509993017,39.0,0.0008323746104118736,0.0,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
GET,/predict?cb_nonce=128196,1,1,4095.7508999854326,4095.7508999854326,4095.7508999854326,4095.7508999854326,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=128298,1,0,2495.7309999736026,2495.7309999736026,2495.7309999736026,2495.7309999736026,39.0,0.0008323746104118736,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/predict?cb_nonce=128535,1,0,38813.318100059405,38813.318100059405,38813.318100059405,38813.318100059405,39.0,0.0008323746104118736,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,/predict?cb_nonce=128769,1,1,4392.919200006872,4392.919200006872,4392.919200006872,4392.919200006872,0.0,0.0008323746104118736,0.0008323746104118736,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/predict?cb_nonce=128863,1,0,2304.9962000222877,2304.9962000222877,2304.9962000222877,2304.9962000222877,39.0,0.0008323746104118736,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/predict?cb_nonce=128917,1,1,4109.562399913557,4109.562399913557,4109.562399913557,4109.562399913557,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=129040,1,1,4130.766000016592,4130.766000016592,4130.766000016592,4130.766000016592,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=129162,1,1,4229.964000056498,4229.964000056498,4229.964000056498,4229.964000056498,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=129288,1,1,4081.1723000369966,4081.1723000369966,4081.1723000369966,4081.1723000369966,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=129502,1,0,2142.920000012964,2142.920000012964,2142.920000012964,2142.920000012964,39.0,0.0008323746104118736,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/predict?cb_nonce=129796,1,0,1316.7334999889135,1316.7334999889135,1316.7334999889135,1316.7334999889135,39.0,0.0008323746104118736,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/predict?cb_nonce=1300,1,0,2401.85299993027,2401.85299993027,2401.85299993027,2401.85299993027,39.0,0.0008323746104118736,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/predict?cb_nonce=130464,1,0,1672.9290999937803,1672.9290999937803,1672.9290999937803,1672.9290999937803,39.0,0.0008323746104118736,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/predict?cb_nonce=130521,1,1,4175.865500001237,4175.865500001237,4175.865500001237,4175.865500001237,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=131282,1,0,2706.555299926549,2706.555299926549,2706.555299926549,2706.555299926549,39.0,0.0008323746104118736,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/predict?cb_nonce=131840,1,0,2115.6365000642836,2115.6365000642836,2115.6365000642836,2115.6365000642836,39.0,0.0008323746104118736,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/predict?cb_nonce=132191,1,1,4785.260800039396,4785.260800039396,4785.260800039396,4785.260800039396,0.0,0.0008323746104118736,0.0008323746104118736,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,/predict?cb_nonce=132217,1,1,4062.650699983351,4062.650699983351,4062.650699983351,4062.650699983351,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=132328,1,0,2148.5456000082195,2148.5456000082195,2148.5456000082195,2148.5456000082195,39.0,0.0008323746104118736,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/predict?cb_nonce=132374,1,0,2617.1011000405997,2617.1011000405997,2617.1011000405997,2617.1011000405997,39.0,0.0008323746104118736,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
